status_code:404 163.172.64.133 [27/Jun/2017:07:17:24 +0000] GET //a2billing/customer/templates/default/footer.tpl HTTP/1.1
status_code:302 138.75.243.255 [28/Jun/2017:01:38:30 +0000] GET /createUser HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:38:30 +0000] GET /login HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:39:35 +0000] GET /login HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:40:07 +0000] GET / HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:40:18 +0000] GET /employee HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:40:21 +0000] GET /employee/create HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:40:32 +0000] GET /login HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:41:29 +0000] GET /login HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:43:01 +0000] GET /register HTTP/1.1
status_code:302 138.75.243.255 [28/Jun/2017:01:43:19 +0000] POST /register HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:43:22 +0000] GET /register HTTP/1.1
status_code:302 138.75.243.255 [28/Jun/2017:01:43:37 +0000] POST /register HTTP/1.1
status_code:200 138.75.243.255 [28/Jun/2017:01:43:42 +0000] GET /home HTTP/1.1
status_code:404 138.75.243.255 [28/Jun/2017:01:43:54 +0000] GET /ticketit HTTP/1.1
status_code:302 138.75.243.255 [28/Jun/2017:01:43:59 +0000] GET /tickets HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:43:59 +0000] GET /tickets-install HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:44:13 +0000] GET /tickets-install HTTP/1.1
status_code:302 138.75.243.255 [28/Jun/2017:01:44:27 +0000] GET /tickets-admin HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:44:27 +0000] GET /tickets-install HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:45:42 +0000] GET /tickets-install HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:45:49 +0000] GET /tickets-install HTTP/1.1
status_code:500 138.75.243.255 [28/Jun/2017:01:45:52 +0000] GET /tickets-install HTTP/1.1
