163.172.64.133, 127.0.0.1 - [27/Jun/2017:07:17:24 +0000] "GET /index.php" 404 0 - 942 16542 0.106 4194304 18.85% 37.69% "//a2billing/customer/templates/default/footer.tpl"
139.162.113.204, 127.0.0.1 - [28/Jun/2017:00:49:39 +0000] "GET /index.php" 200 0 - 942 6350 0.112 6291456 53.45% 26.73% "/"
141.212.122.32, 127.0.0.1 - [28/Jun/2017:01:11:12 +0000] "GET /index.php" 200 0 - 942 6796 0.077 4194304 52.25% 26.13% "/"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:37:50 +0000] "GET /index.php" 404 0 - 942 7305 0.194 6291456 25.76% 20.61% "/ticketit"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:37:55 +0000] "GET /index.php" 302 0 - 942 7305 0.050 2097152 59.81% 19.94% "/tickets"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:37:55 +0000] "GET /index.php" 302 0 - 942 7305 0.048 2097152 41.83% 20.92% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:37:55 +0000] "GET /index.php" 500 0 - 942 7305 0.036 2097152 112.10% 0.00% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:38:05 +0000] "GET /index.php" 500 0 - 942 7305 0.031 2097152 96.95% 0.00% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:38:06 +0000] "GET /index.php" 500 0 - 942 7305 0.031 2097152 32.74% 0.00% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:38:16 +0000] "GET /index.php" 200 0 - 942 7305 0.033 2097152 91.91% 30.64% "/"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:38:30 +0000] "GET /index.php" 302 0 - 942 7341 0.066 4194304 76.03% 0.00% "/createUser"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:38:30 +0000] "GET /index.php" 500 0 - 942 7341 0.031 4194304 64.50% 32.25% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:39:35 +0000] "GET /index.php" 500 0 - 942 7470 0.042 4194304 71.24% 0.00% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:40:07 +0000] "GET /index.php" 200 0 - 942 7472 0.079 4194304 62.91% 25.16% "/"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:40:18 +0000] "GET /index.php" 200 0 - 942 7472 0.062 4194304 80.42% 0.00% "/employee"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:40:20 +0000] "GET /index.php" 200 0 - 942 7472 0.063 4194304 79.46% 0.00% "/employee/create"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:40:32 +0000] "GET /index.php" 500 0 - 942 7472 0.054 4194304 55.63% 37.09% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:41:29 +0000] "GET /index.php" 200 0 - 942 7506 0.068 4194304 44.40% 14.80% "/login"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:01 +0000] "GET /index.php" 200 0 - 942 7553 0.068 4194304 44.28% 29.52% "/register"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:19 +0000] "POST /index.php" 302 138 - 942 7556 0.043 4194304 70.35% 0.00% "/register"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:22 +0000] "GET /index.php" 200 0 - 942 7556 0.063 4194304 63.61% 31.81% "/register"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:37 +0000] "POST /index.php" 302 145 - 942 7562 0.171 4194304 76.23% 5.86% "/register"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:42 +0000] "GET /index.php" 200 0 - 942 7562 0.079 4194304 63.43% 25.37% "/home"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:54 +0000] "GET /index.php" 404 0 - 942 7565 0.079 4194304 50.85% 25.42% "/ticketit"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:58 +0000] "GET /index.php" 302 0 - 942 7565 0.025 4194304 80.17% 0.00% "/tickets"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:43:59 +0000] "GET /index.php" 500 0 - 942 7565 0.068 4194304 88.10% 14.68% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:44:13 +0000] "GET /index.php" 500 0 - 942 7573 0.092 4194304 65.21% 21.74% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:44:27 +0000] "GET /index.php" 302 0 - 942 7576 0.038 4194304 26.01% 26.01% "/tickets-admin"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:44:27 +0000] "GET /index.php" 500 0 - 942 7576 0.081 4194304 73.86% 12.31% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:45:42 +0000] "GET /index.php" 500 0 - 942 7648 0.089 4194304 67.45% 11.24% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:45:49 +0000] "GET /index.php" 500 0 - 942 7648 0.085 4194304 70.66% 23.55% "/tickets-install"
138.75.243.255, 127.0.0.1 - [28/Jun/2017:01:45:52 +0000] "GET /index.php" 500 0 - 942 7648 0.071 4194304 70.52% 28.21% "/tickets-install"
